r   90
6	2.93
7	2.76
8	2.61
9	2.47
10	2.37
11	2.28
12	2.2
14	2.06
16	1.94
18	1.84
20	1.76
25	1.57
30	1.4
35	1.25
40	1.1
45	0.97
50	0.84
55	0.72
