3.99E-06	0.0179061
3.55E-06	0.0157987
3.23E-06	0.0140855
2.81E-06	0.0135097
2.56E-06	0.0124277
2.50E-06	0.0102996
2.33E-06	0.00753127
2.07E-06	0.00918271
1.76E-06	0.00853589
1.56E-06	0.00729916
1.39E-06	0.0070742
1.27E-06	0.00637324
1.15E-06	0.00568213
9.78E-07	0.00501338
8.50E-07	0.00461187
7.74E-07	0.00433198
6.57E-07	0.00386223
5.84E-07	0.00359018
4.73E-07	0.00323444
4.31E-07	0.00316763
4.62E-07	0.00323444
5.20E-07	0.00347953
6.57E-07	0.00362783
6.88E-07	0.00382213
7.74E-07	0.00406908
9.34E-07	0.00461187
